,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,Rojo,"J Balvin",1279672,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
56,"Ride It",Regard,1253535,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
57,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1246137,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
58,911,"Lady Gaga",1226570,https://open.spotify.com/track/6qI0MU175Dk2DeoUjlrOpy
59,Favorito,Camilo,1217138,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
60,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",1197103,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
61,"Kings & Queens","Ava Max",1179214,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
62,Alice,"Lady Gaga",1166574,https://open.spotify.com/track/41A89rj3GoMG6ktN37L7PG
63,Physical,"Dua Lipa",1164929,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
64,"Godzilla (feat. Juice WRLD)",Eminem,1149433,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
65,"everything i wanted","Billie Eilish",1147888,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
66,PORFA,Feid,1144624,https://open.spotify.com/track/4TOmcZvw0gHa7GiXRbcYAW
67,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",1129136,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
68,"MORE & MORE",TWICE,1116475,https://open.spotify.com/track/3omvXShuRPM3zbDpWYqf5g
69,"lovely (with Khalid)","Billie Eilish",1104962,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
70,Savage,"Megan Thee Stallion",1098607,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
71,"Lucid Dreams","Juice WRLD",1078255,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
72,Skechers,DripReport,1074067,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
73,"Free Woman","Lady Gaga",1061247,https://open.spotify.com/track/4L6ihclQPu1hqP9r3WNJjQ
74,"Chicago Freestyle (feat. Giveon)",Drake,1060237,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
75,"hot girl bummer",blackbear,1017978,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
76,Righteous,"Juice WRLD",1010144,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t
77,"Lose Control",MEDUZA,1003849,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
78,"I Don't Care (with Justin Bieber)","Ed Sheeran",1000461,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
79,"La Jeepeta - Remix","Nio Garcia",973517,https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70
80,Amarillo,"J Balvin",968814,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
81,Shallow,"Lady Gaga",956765,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
82,Tattoo,"Rauw Alejandro",954857,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
83,"Deep End Freestyle","Sleepy Hallow",939670,https://open.spotify.com/track/4zTPYAf5scZdp0LnwPPeWK
84,Relación,Sech,934317,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
85,"RITMO (Bad Boys For Life)","Black Eyed Peas",895315,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
86,Daisies,"Katy Perry",881507,https://open.spotify.com/track/4uqh9bualXNHXXwO2wPorc
87,"CÓMO SE SIENTE - Remix","Jhay Cortez",872444,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
88,Enigma,"Lady Gaga",866261,https://open.spotify.com/track/7JDbfYUHjDzQPFSDh5lzGs
89,"La Difícil","Bad Bunny",865083,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
90,"Sine From Above (with Elton John)","Lady Gaga",863519,https://open.spotify.com/track/0zzsyWc45eUcSjw4FNHxeN
