,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
26,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",1604371,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
27,"I Don't Care (with Justin Bieber)","Ed Sheeran",1597395,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
28,Fantasias,"Rauw Alejandro",1579814,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
29,"Beautiful People (feat. Khalid)","Ed Sheeran",1517497,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
30,"Lucid Dreams","Juice WRLD",1514188,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
31,Heartless,"The Weeknd",1510767,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
32,"No Idea","Don Toliver",1458329,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
33,"Old Town Road - Remix","Lil Nas X",1446903,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
34,"Futsal Shuffle 2020","Lil Uzi Vert",1445478,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
35,"LA CANCIÓN","J Balvin",1436592,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
36,"HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX","Travis Scott",1434685,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn
37,Callaita,"Bad Bunny",1401929,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
38,"7 rings","Ariana Grande",1371739,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
39,"Before You Go","Lewis Capaldi",1333574,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
40,"Que Tire Pa Lante","Daddy Yankee",1329281,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
41,Lalala,Y2K,1291953,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
42,"Hola - Remix",Dalex,1273828,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
43,"Whine Up","Nicky Jam",1254899,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
44,"How Do You Sleep?","Sam Smith",1241875,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
45,"No Me Conoce - Remix","Jhay Cortez",1237445,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
46,"Lose Control",MEDUZA,1215005,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
47,"10,000 Hours (with Justin Bieber)","Dan + Shay",1214953,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
48,"Sigues Con El","Dímelo Flow",1199083,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
49,"Good as Hell (feat. Ariana Grande) - Remix",Lizzo,1190890,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd
50,"Ayy Macarena",Tyga,1182984,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
51,"Ballin' (with Roddy Ricch)",Mustard,1178320,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
52,Happier,Marshmello,1149923,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
53,Suicidal,"YNW Melly",1146623,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
54,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",1144225,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
55,"Adicto (with Anuel AA & Ozuna)",Tainy,1137938,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
56,"OUT WEST (feat. Young Thug)",JACKBOYS,1114074,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
57,Ransom,"Lil Tecca",1112466,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
58,"Goodbyes (Feat. Young Thug)","Post Malone",1110006,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
59,"Con Altura",ROSALÍA,1086933,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
60,"Shape of You","Ed Sheeran",1065859,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
61,Trampoline,SHAED,1053060,https://open.spotify.com/track/4HBvwhhYo7YiYXkUDrOHzS
62,Shallow,"Lady Gaga",1043906,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
63,"Truth Hurts",Lizzo,1018639,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
64,"rockstar (feat. 21 Savage)","Post Malone",1015073,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
65,"Girls Like You (feat. Cardi B)","Maroon 5",1011338,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
66,Wow.,"Post Malone",1002502,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
67,"Bohemian Rhapsody - 2011 Mix",Queen,993846,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
68,"Liberdade Provisória","Henrique & Juliano",989153,https://open.spotify.com/track/1vG3YuKRYqPwTmNmYgqkpg
69,"when the party's over","Billie Eilish",987596,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
70,"thank u, next","Ariana Grande",976647,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
71,"Piece Of Your Heart",MEDUZA,967600,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
72,"lovely (with Khalid)","Billie Eilish",957848,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
73,Falling,"Harry Styles",945474,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
74,Psycho,"Red Velvet",942215,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK
75,"Con Calma","Daddy Yankee",930799,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
76,Sucker,"Jonas Brothers",930066,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
77,Robbery,"Juice WRLD",920310,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
78,"Yellow Hearts","Ant Saunders",918798,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl
79,Tutu,Camilo,917214,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
80,Aventura,Lunay,911629,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
81,VIBEZ,DaBaby,906858,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
82,"Lights Up","Harry Styles",903674,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
83,"Soltera - Remix",Lunay,902955,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
84,"It's You","Ali Gatie",902778,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
85,"Don't Stop Me Now - 2011 Mix",Queen,902402,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
86,"Yo x Ti, Tu x Mi",ROSALÍA,890696,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
87,Blanco,"J Balvin",889695,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
88,"SICKO MODE","Travis Scott",881997,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
89,Indeciso,Reik,881242,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
90,"Money In The Grave (Drake ft. Rick Ross)",Drake,879962,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
91,"God's Plan",Drake,872771,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
92,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",861122,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
93,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,851712,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
94,Suge,DaBaby,846925,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
95,Woah,"Lil Baby",846370,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F
96,"GANG GANG",JACKBOYS,843763,https://open.spotify.com/track/6uJONCdr2rC65BNmCnTBWK
97,Quizas,"Rich Music LTD",839755,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
98,"Bellaquita - Remix",Dalex,830202,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
99,"Mean It",Lauv,828542,https://open.spotify.com/track/3GRSqlALWISqLeNncZMbpX
100,Closer,"The Chainsmokers",827150,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
101,"One Kiss (with Dua Lipa)","Calvin Harris",825773,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
102,"Calma - Remix","Pedro Capó",824760,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
103,"Sweet but Psycho","Ava Max",822210,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
104,"Si Te Vas",Sech,821806,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
105,Believer,"Imagine Dragons",820619,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
106,"Roses - Imanbek Remix","SAINt JHN",820510,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
107,"Combatchy (feat. MC Rebecca)",Anitta,819725,https://open.spotify.com/track/2bPtwnrpFNEe8N7Q85kLHw
108,"Writing on the Wall (feat. Post Malone, Cardi B & Rvssian)","French Montana",818156,https://open.spotify.com/track/7ntUbTIwmwOD6ygCMRZT6e
109,SENTADÃO,"PEDRO SAMPAIO",807140,https://open.spotify.com/track/4lKuzrdZrJuCAedbIslF3A
110,"Without Me",Halsey,806580,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
111,"Wake Me Up",Avicii,803570,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD
112,"No Guidance (feat. Drake)","Chris Brown",803180,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
113,"Hate Me (with Juice WRLD)","Ellie Goulding",803118,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
114,"Hot (Remix) [feat. Gunna and Travis Scott]","Young Thug",800971,https://open.spotify.com/track/4ea9w8c4ROqiZpJVhfBA3m
115,"WHAT TO DO? (feat. Don Toliver)",JACKBOYS,792292,https://open.spotify.com/track/4AO1XhrgJczQ9bNVxdfKQe
116,"High Hopes","Panic! At The Disco",788642,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
117,"If the World Was Ending - feat. Julia Michaels","JP Saxe",787720,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
118,SAD!,XXXTENTACION,771877,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
119,"Que Calor (with J Balvin & El Alfa)","Major Lazer",771867,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3
120,"Talk (feat. Disclosure)",Khalid,770438,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
121,"Had Enough (feat. Quavo & Offset)","Don Toliver",768201,https://open.spotify.com/track/2jrAaawDRCn1JjeouxAyDN
122,"Into the Unknown","Idina Menzel",766224,https://open.spotify.com/track/3Z0oQ8r78OUaHvGPiDBR3W
123,"Supera - Ao Vivo","Marília Mendonça",761330,https://open.spotify.com/track/3GmJxfnUDrIs1iCfKUELFz
124,"Better Now","Post Malone",760479,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
125,"Dancing With A Stranger (with Normani)","Sam Smith",760423,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
126,"Can't Hold Us - feat. Ray Dalton","Macklemore & Ryan Lewis",759930,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
127,"Otro Trago - Remix",Sech,758980,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
128,"Higher Love",Kygo,754604,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
129,"Cheirosa - Ao Vivo","Jorge & Mateus",753095,https://open.spotify.com/track/2PWjKmjyTZeDpmOUa3a5da
130,"223's (feat. 9lokknine)","YNW Melly",744432,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T
131,"Surtada - Remix Brega Funk","Dadá Boladão",743853,https://open.spotify.com/track/5F8ffc8KWKNawllr5WsW0r
132,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","DJ Snake",733181,https://open.spotify.com/track/0KoiMHhqKLoL4xM54rcWYY
133,Graveyard,Halsey,729067,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
134,"Up All Night",Khalid,721518,https://open.spotify.com/track/1mpD5Q8IM32I4bF6eCpU74
135,"QUE PRETENDES","J Balvin",718935,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
136,"bury a friend","Billie Eilish",718643,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
137,"I Like It","Cardi B",713706,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
138,"A Gente Fez Amor - Ao Vivo","Gusttavo Lima",710682,https://open.spotify.com/track/3tv697PZNnaQN0Mn2zGhS5
139,"Stuck In A Dream (feat. Gunna)","Lil Mosey",709276,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ
140,"Havana (feat. Young Thug)","Camila Cabello",705143,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
141,"11 PM",Maluma,704358,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
142,"New Rules","Dua Lipa",700901,https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O
143,Panini,"Lil Nas X",700011,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
144,"Eastside (with Halsey & Khalid)","benny blanco",699427,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
145,"Look At Her Now","Selena Gomez",694383,https://open.spotify.com/track/4yI3HpbSFSgFZtJP2kDe5m
146,Legends,"Juice WRLD",693447,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa
147,"Say So","Doja Cat",692824,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
148,"MIDDLE CHILD","J. Cole",690602,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
149,"MIA (feat. Drake)","Bad Bunny",687030,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
150,July,"Noah Cyrus",682791,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
151,Liar,"Camila Cabello",678380,https://open.spotify.com/track/073ILU1C3APNRGF66VhtyA
152,goosebumps,"Travis Scott",676961,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
153,"Bebi Minha Bicicleta (Coração Falido) - Ao Vivo","Zé Neto & Cristiano",675777,https://open.spotify.com/track/2Q9TaUXNM4mNSCgJjbmsJe
154,"Pa' Olvidarme De Ella","Piso 21",669658,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
155,"Don't Call Me Up",Mabel,663637,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
156,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",661424,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
157,"One Dance",Drake,653196,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
158,Candy,"Doja Cat",651208,https://open.spotify.com/track/1VJwtWR6z7SpZRwipI12be
159,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",649302,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
160,"The London (feat. J. Cole & Travis Scott)","Young Thug",649133,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
161,"Some que ele vem atrás",Anitta,647025,https://open.spotify.com/track/2qD7VoDYcrAPY0cVEfpsR5
162,Perfect,"Ed Sheeran",646976,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
163,Family,"The Chainsmokers",646975,https://open.spotify.com/track/3TKpJrY9q49Mj1JOsM9zGL
164,"Perreo en La Luna","Rich Music LTD",644451,https://open.spotify.com/track/0RDgqtvOHLwcI6yz9bjsZV
165,"Baila Conmigo (feat. Kelly Ruiz)",Dayvi,641303,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG
166,"Old Town Road","Lil Nas X",637617,https://open.spotify.com/track/0F7FA14euOIX8KcbEturGH
167,"Another One Bites The Dust - Remastered 2011",Queen,634579,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
168,"Say You Won't Let Go","James Arthur",633907,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
169,"If I Can't Have You","Shawn Mendes",632707,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
170,"Something Just Like This","The Chainsmokers",632320,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
171,"Under Pressure - Remastered",Queen,629014,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
172,Youngblood,"5 Seconds of Summer",627345,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
173,"ocean eyes","Billie Eilish",627325,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
174,Moonlight,XXXTENTACION,626012,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
175,"Pumped Up Kicks","Foster The People",623950,https://open.spotify.com/track/7w87IxuO7BDcJ3YUqCyMTT
176,"All Girls Are The Same","Juice WRLD",622845,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
177,Death,"Trippie Redd",621097,https://open.spotify.com/track/3Kd6Wp3lG5HXMB2dlvuy7y
178,"Jocelyn Flores",XXXTENTACION,620008,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
179,"The Middle",Zedd,619671,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
180,Thunder,"Imagine Dragons",617513,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
181,Africa,TOTO,616152,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
182,VALENTINO,24kGoldn,614795,https://open.spotify.com/track/6piAUJJQFD8oHDUr0b7l7q
183,"Uptown Funk (feat. Bruno Mars)","Mark Ronson",614459,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
184,"I Like Me Better",Lauv,614002,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
185,"Hit Contagiante","Felipe Original",612337,https://open.spotify.com/track/5dKesZwp6deuhEeW8F1UEi
186,Takeaway,"The Chainsmokers",608670,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
187,"Nice To Meet Ya","Niall Horan",606205,https://open.spotify.com/track/3cphb8kdsjElYR7r5icK3H
188,"You Need To Calm Down","Taylor Swift",603391,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
189,"Feel It Still","Portugal. The Man",601606,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
190,"3 Batidas - Ao Vivo","Guilherme & Benuto",601352,https://open.spotify.com/track/1uryupl9hqVZYurJwH4G9k
191,"Never Seen the Rain","Tones And I",599223,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
192,"Let Me Down Slowly","Alec Benjamin",599005,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
193,"Turn Me On (feat. Vula)",Riton,597305,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9
194,Fantasía,Ozuna,595712,https://open.spotify.com/track/40rXWke6SnXiGkSmaT8ZUr
195,"Going Bad (feat. Drake)","Meek Mill",595380,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
196,Bruises,"Lewis Capaldi",591311,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
197,"Despacito - Remix","Luis Fonsi",589282,https://open.spotify.com/track/1vnnXMrBeEWiRg3YCMCjQq
198,Verdinha,Ludmilla,588554,https://open.spotify.com/track/2RMOwSvOGQyy985Vx4VSGQ
199,"Don't Stop Believin'",Journey,586900,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
200,"Nunca Es Suficiente","Los Ángeles Azules",586686,https://open.spotify.com/track/63USmok1OioBzKuWGW9wAg
