,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",6155025,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,ROXANNE,"Arizona Zervas",4133489,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
3,Tusa,"KAROL G",4017964,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
4,Circles,"Post Malone",3283180,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
5,Memories,"Maroon 5",3127585,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
6,Falling,"Trevor Daniel",2993746,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
7,"Don't Start Now","Dua Lipa",2992597,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
8,"RITMO (Bad Boys For Life)","Black Eyed Peas",2980775,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
9,Señorita,"Shawn Mendes",2873805,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
10,"Blinding Lights","The Weeknd",2830968,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
11,"The Box","Roddy Ricch",2715653,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
12,"bad guy","Billie Eilish",2564016,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
13,"everything i wanted","Billie Eilish",2477644,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
14,"Someone You Loved","Lewis Capaldi",2356916,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
15,"Adore You","Harry Styles",2019758,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
16,Vete,"Bad Bunny",1951124,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
17,"My Oh My (feat. DaBaby)","Camila Cabello",1934870,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
18,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1884725,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
19,"hot girl bummer",blackbear,1870095,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
20,China,"Anuel AA",1861342,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
21,"Lose You To Love Me","Selena Gomez",1819647,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
22,BOP,DaBaby,1798728,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
23,"Ride It",Regard,1746472,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
24,"Watermelon Sugar","Harry Styles",1675202,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
25,"HIGHEST IN THE ROOM","Travis Scott",1667985,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
