,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Savage Love (Laxed - Siren Beat)","Jawsh 685",4876318,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
2,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,4781251,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
3,"Blinding Lights","The Weeknd",4346043,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
4,"Watermelon Sugar","Harry Styles",4135661,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
5,"my future","Billie Eilish",3712032,https://open.spotify.com/track/2ygvZOXrIeVL4xZmAWJT2C
6,"Roses - Imanbek Remix","SAINt JHN",3459798,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
7,cardigan,"Taylor Swift",3124127,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd
8,"Breaking Me",Topic,2976429,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
9,"Come & Go (with Marshmello)","Juice WRLD",2722932,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
10,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",2696429,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
11,"exile (feat. Bon Iver)","Taylor Swift",2693003,https://open.spotify.com/track/4pvb0WLRcMtbPGmtejJJ6y
12,"La Jeepeta - Remix","Nio Garcia",2561400,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
13,"Dance Monkey","Tones And I",2549400,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
14,"Wishing Well","Juice WRLD",2425680,https://open.spotify.com/track/6o3QUC5oAE4g6WxRIFcZtb
15,"death bed (coffee for your head)",Powfu,2372518,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
16,"Rain On Me (with Ariana Grande)","Lady Gaga",2350098,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
17,"ily (i love you baby) (feat. Emilee)","Surf Mesa",2302432,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
18,Caramelo,Ozuna,2301154,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG
19,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,2273410,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
20,MAMACITA,"Black Eyed Peas",2235324,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
21,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",2226973,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
22,Relación,Sech,2162363,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
23,"Tattoo - Remix with Camilo","Rauw Alejandro",2161997,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
24,"Break My Heart","Dua Lipa",2088118,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
25,"the 1","Taylor Swift",2073858,https://open.spotify.com/track/0Jlcvv8IykzHaSmj49uNW8
26,"Don't Start Now","Dua Lipa",2043919,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
27,"POPSTAR (feat. Drake)","DJ Khaled",2029109,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
28,"Toosie Slide",Drake,2008061,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
29,"Blueberry Faygo","Lil Mosey",2006144,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
30,"La Curiosidad","Jay Wheeler",1989691,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
31,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",1920379,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
32,"Someone You Loved","Lewis Capaldi",1860971,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
33,"Mamichula - con Nicki Nicole",Trueno,1832217,https://open.spotify.com/track/4pXW6ZAHBz7ODXTRKklWrM
