,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",7239622,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,"The Box","Roddy Ricch",6827585,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,"Blinding Lights","The Weeknd",5582605,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
4,Tusa,"KAROL G",5491796,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
5,"Don't Start Now","Dua Lipa",4609371,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
6,Yummy,"Justin Bieber",4563501,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
7,ROXANNE,"Arizona Zervas",4353860,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
8,"Godzilla (feat. Juice WRLD)",Eminem,4335663,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
9,"Life Is Good (feat. Drake)",Future,4182869,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
10,Falling,"Trevor Daniel",4155233,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
11,"everything i wanted","Billie Eilish",3675856,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
12,Memories,"Maroon 5",3281378,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
13,Circles,"Post Malone",3207890,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
14,"bad guy","Billie Eilish",3110330,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
15,"RITMO (Bad Boys For Life)","Black Eyed Peas",3032118,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
16,"Someone You Loved","Lewis Capaldi",2862695,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
17,Señorita,"Shawn Mendes",2721542,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
18,Physical,"Dua Lipa",2405433,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
19,"Sigues Con El","Dímelo Flow",2392969,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
20,"You should be sad",Halsey,2384312,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
21,"My Oh My (feat. DaBaby)","Camila Cabello",2250520,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
22,"Adore You","Harry Styles",2224833,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
23,Vete,"Bad Bunny",2146440,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
24,"Before You Go","Lewis Capaldi",2139056,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
25,"Lose You To Love Me","Selena Gomez",2118650,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
26,"Say So","Doja Cat",2079883,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
27,Suicidal,"YNW Melly",2073721,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
28,"Ride It",Regard,2027467,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
29,"Hola - Remix",Dalex,2002507,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
30,Morado,"J Balvin",1890067,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
31,"Lose Control",MEDUZA,1888505,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
32,Fantasias,"Rauw Alejandro",1871750,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
33,Rare,"Selena Gomez",1829622,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19
34,"What A Man Gotta Do","Jonas Brothers",1772918,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
35,Muévelo,"Nicky Jam",1744669,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
36,"Roses - Imanbek Remix","SAINt JHN",1719156,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
37,"hot girl bummer",blackbear,1703673,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
38,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1691344,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
39,"I Don't Care (with Justin Bieber)","Ed Sheeran",1683866,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
40,BOP,DaBaby,1679088,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
41,"Ballin' (with Roddy Ricch)",Mustard,1674469,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
42,China,"Anuel AA",1655580,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
43,"when the party's over","Billie Eilish",1652825,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
44,"Ayy Macarena",Tyga,1651156,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
45,"Get Me","Justin Bieber",1631643,https://open.spotify.com/track/6zGPytJiZmFuyVq7RTNO9G
46,"What If I Told You That I Love You","Ali Gatie",1630147,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
47,SUGAR,BROCKHAMPTON,1596149,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
48,"HIGHEST IN THE ROOM","Travis Scott",1595141,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
49,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",1540141,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
50,"Me Gusta",Shakira,1538184,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
51,"Good News","Mac Miller",1521477,https://open.spotify.com/track/1DWZUa5Mzf2BwzpHtgbHPY
52,"I Do It (ft. Big Sean, Lil Baby)","Lil Wayne",1461319,https://open.spotify.com/track/1bRO28yzxgO3y3UmNR29TZ
53,"Beautiful People (feat. Khalid)","Ed Sheeran",1434671,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
54,"lovely (with Khalid)","Billie Eilish",1431512,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
55,"Lucid Dreams","Juice WRLD",1430472,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
56,"No Idea","Don Toliver",1429781,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
57,"High Fashion (feat. Mustard)","Roddy Ricch",1405558,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
58,"10,000 Hours (with Justin Bieber)","Dan + Shay",1391412,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
59,"Whine Up","Nicky Jam",1376024,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
60,"Black Swan",BTS,1362077,https://open.spotify.com/track/24NuEDgyRIljwSyY0lsr7b
61,"Watermelon Sugar","Harry Styles",1355707,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
62,"No Me Conoce - Remix","Jhay Cortez",1335572,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
63,Lalala,Y2K,1313737,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
64,"LA CANCIÓN","J Balvin",1306654,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
65,"7 rings","Ariana Grande",1303987,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
66,"Only The Young - Featured in Miss Americana","Taylor Swift",1301789,https://open.spotify.com/track/2slqvGLwzZZYsT4K4Y1GBC
67,Callaita,"Bad Bunny",1283828,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
68,"Adicto (with Anuel AA & Ozuna)",Tainy,1236646,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
69,"Old Town Road - Remix","Lil Nas X",1233844,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
70,"TOES (feat. Lil Baby & Moneybagg Yo)",DaBaby,1229151,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG
71,"If the World Was Ending - feat. Julia Michaels","JP Saxe",1227808,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
72,Blanco,"J Balvin",1180554,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
73,"Que Tire Pa Lante","Daddy Yankee",1156460,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
74,Shallow,"Lady Gaga",1155348,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
75,Aventura,Lunay,1117902,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
76,"Futsal Shuffle 2020","Lil Uzi Vert",1105083,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
77,Ransom,"Lil Tecca",1101363,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
78,Woah,"Lil Baby",1099626,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F
79,"Sunday Best",Surfaces,1096691,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
80,"Liberdade Provisória - Ao Vivo","Henrique & Juliano",1094251,https://open.spotify.com/track/3Ghyp3X5Ua9ypHnBIgOObI
81,Eleven,Khalid,1093012,https://open.spotify.com/track/1ToprX3cpBiXoAe5eNSk74
82,"Bellaquita - Remix",Dalex,1091890,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
83,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",1091796,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
84,"Goodbyes (Feat. Young Thug)","Post Malone",1085074,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
85,Baby,"Joker Bra",1083498,https://open.spotify.com/track/1V7JaMp11LKGwKiVmSetf0
86,"It's You","Ali Gatie",1073835,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
87,Heartless,"The Weeknd",1064976,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
