,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,5434158,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,"Savage Love (Laxed - Siren Beat)","Jawsh 685",4633129,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
3,"Blinding Lights","The Weeknd",4632923,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
4,"Roses - Imanbek Remix","SAINt JHN",3903956,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
5,"How You Like That",BLACKPINK,3758404,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
6,"Watermelon Sugar","Harry Styles",3573171,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
7,"death bed (coffee for your head)",Powfu,3144099,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
8,"Rain On Me (with Ariana Grande)","Lady Gaga",3057256,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
9,"Toosie Slide",Drake,2914226,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
10,"Dance Monkey","Tones And I",2692372,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
11,"Party Girl",StaySolidRocky,2687860,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
12,"Breaking Me",Topic,2663421,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
13,"ily (i love you baby) (feat. Emilee)","Surf Mesa",2612950,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
14,"Don't Start Now","Dua Lipa",2605674,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
15,"Break My Heart","Dua Lipa",2545950,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
16,"Blueberry Faygo","Lil Mosey",2444466,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
17,"Stuck with U (with Justin Bieber)","Ariana Grande",2239497,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
18,Supalonely,BENEE,2166635,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
19,"The Box","Roddy Ricch",2149199,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
20,MAMACITA,"Black Eyed Peas",2140756,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
21,"Someone You Loved","Lewis Capaldi",2067653,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
22,"THE SCOTTS","THE SCOTTS",2062523,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
23,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",2006578,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
24,"La Jeepeta - Remix","Nio Garcia",2002456,https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70
25,"Intentions (feat. Quavo)","Justin Bieber",1964952,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
26,"Wash Us In The Blood","Kanye West",1900497,https://open.spotify.com/track/7mEUjhl6aTztdHCrxoTgBG
27,"Before You Go","Lewis Capaldi",1856486,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
28,"TKN (feat. Travis Scott)",ROSALÍA,1853387,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
29,Relación,Sech,1814907,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
30,GOOBA,6ix9ine,1799634,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
31,"Say So","Doja Cat",1799279,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
32,"Sunday Best",Surfaces,1771394,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
33,Falling,"Trevor Daniel",1756925,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
34,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",1688787,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
35,Circles,"Post Malone",1662147,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
36,"In Your Eyes","The Weeknd",1633355,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
37,"Hasta Que Dios Diga","Anuel AA",1611800,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
38,"Be Kind (with Halsey)",Marshmello,1594488,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
39,"Play Date","Melanie Martinez",1588350,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
40,goosebumps,"Travis Scott",1578158,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
41,Tusa,"KAROL G",1551403,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
42,"Kings & Queens","Ava Max",1524093,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
43,"Adore You","Harry Styles",1519391,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
44,Señorita,"Shawn Mendes",1518369,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
45,"Lose Somebody",Kygo,1498862,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
46,Caramelo,Ozuna,1478231,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG
47,Memories,"Maroon 5",1445850,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
48,"Yo Perreo Sola","Bad Bunny",1445168,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
49,"HIGHEST IN THE ROOM","Travis Scott",1419191,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
