,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
53,"Don't Start Now","Dua Lipa",1481864,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
54,"Mi Cuarto","Jerry Di",1464605,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
55,"death bed (coffee for your head)",Powfu,1416599,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
56,"Rain On Me (with Ariana Grande)","Lady Gaga",1397725,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
57,Caramelo,Ozuna,1392332,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
58,"Mi Niña",Wisin,1376126,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
59,"Blueberry Faygo","Lil Mosey",1368891,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
60,"Wishing Well","Juice WRLD",1356442,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
61,"Go Crazy","Chris Brown",1340034,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
62,Circles,"Post Malone",1292890,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
63,Sofia,Clairo,1289457,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
64,"my ex's best friend (with blackbear)","Machine Gun Kelly",1270984,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
65,goosebumps,"Travis Scott",1255083,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
66,"Stuck with U (with Justin Bieber)","Ariana Grande",1245317,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
67,Señorita,"Shawn Mendes",1212798,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
68,"The Box","Roddy Ricch",1208746,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
69,Memories,"Maroon 5",1205423,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
70,"Lucid Dreams","Juice WRLD",1189207,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
71,"Tyler Herro","Jack Harlow",1177112,https://open.spotify.com/track/4DuUwzP4ALMqpquHU0ltAB
72,"Adore You","Harry Styles",1170440,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
73,"Jerusalema (feat. Nomcebo Zikode)","Master KG",1170202,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
74,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",1159566,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
75,"Deep End",Fousheé,1155443,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
76,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,1149001,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
77,"Mad at Disney","salem ilese",1147186,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE
78,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1140098,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
79,Angeklagt,"Bonez MC",1133342,https://open.spotify.com/track/3pJa2fy3VW7Uxrzzz0k1A7
80,Robbery,"Juice WRLD",1128939,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
81,Tusa,"KAROL G",1119429,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
82,"Tick Tock (feat. 24kGoldn)","Clean Bandit",1116103,https://open.spotify.com/track/27u7t9d7ZQoyjsCROHuZJ3
83,"Kings & Queens","Ava Max",1115047,https://open.spotify.com/track/1InCpEliLCkWHOBdXW7XSx
84,"ily (i love you baby) (feat. Emilee)","Surf Mesa",1110913,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
85,Falling,"Trevor Daniel",1109762,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
86,"SO DONE","The Kid LAROI",1106839,https://open.spotify.com/track/5psEZhQu6lukjhavJo4AbC
87,"HIGHEST IN THE ROOM","Travis Scott",1105238,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
88,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",1104189,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
89,"Pretty Savage",BLACKPINK,1100823,https://open.spotify.com/track/1XnpzbOGptRwfJhZgLbmSr
90,"bad guy","Billie Eilish",1097716,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
91,"Recairei - Ao Vivo","Os Barões Da Pisadinha",1084029,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP
92,Diamonds,"Sam Smith",1082173,https://open.spotify.com/track/5hvwx5i67IwnCkjl9VHkNv
93,"Toosie Slide",Drake,1078656,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
94,Shallow,"Lady Gaga",1064085,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
95,"Break My Heart","Dua Lipa",1062660,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
96,"Intentions (feat. Quavo)","Justin Bieber",1056362,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
97,Runnin,"21 Savage",1045454,https://open.spotify.com/track/5SWnsxjhdcEDc7LJjq9UHk
98,"Djadja (feat. Maluma) - Remix","Aya Nakamura",1041753,https://open.spotify.com/track/13vDU8nPsvTGEVTMB8Vw7g
99,"lovely (with Khalid)","Billie Eilish",1041492,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
100,"SICKO MODE","Travis Scott",1027763,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
101,"Bet You Wanna (feat. Cardi B)",BLACKPINK,1026364,https://open.spotify.com/track/7iAgNZdotu40NwtoIWJHFe
102,"Train Wreck","James Arthur",1017125,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
