,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",6464423,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,"Don't Start Now","Dua Lipa",5182239,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
3,"Roses - Imanbek Remix","SAINt JHN",4627262,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,"The Box","Roddy Ricch",4412052,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
5,"Dance Monkey","Tones And I",4152002,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
6,"death bed (coffee for your head)",Powfu,3971551,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
7,"Say So","Doja Cat",3474302,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
8,"Blueberry Faygo","Lil Mosey",3374974,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
9,"Break My Heart","Dua Lipa",3363517,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
10,"Intentions (feat. Quavo)","Justin Bieber",3319977,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
11,Safaera,"Bad Bunny",3102463,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
12,Falling,"Trevor Daniel",3051553,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
13,Physical,"Dua Lipa",2882802,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
14,"Sunday Best",Surfaces,2838661,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
15,"In Your Eyes","The Weeknd",2723435,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
16,Supalonely,BENEE,2680386,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
17,ROXANNE,"Arizona Zervas",2634824,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
18,Tusa,"KAROL G",2458683,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
19,"Someone You Loved","Lewis Capaldi",2430925,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
20,Circles,"Post Malone",2348192,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
21,"Yo Perreo Sola","Bad Bunny",2322930,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
22,Rojo,"J Balvin",2247585,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
23,"La Difícil","Bad Bunny",2144634,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
24,"Adore You","Harry Styles",2128890,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
25,Savage,"Megan Thee Stallion",2109890,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
26,Memories,"Maroon 5",2024478,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
27,"Godzilla (feat. Juice WRLD)",Eminem,1917768,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
28,"After Hours","The Weeknd",1909668,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
29,"BELIEVE IT",PARTYNEXTDOOR,1907287,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
30,"bad guy","Billie Eilish",1872683,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
31,"Boss Bitch","Doja Cat",1861476,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
32,"Si Veo a Tu Mamá","Bad Bunny",1832532,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
33,"everything i wanted","Billie Eilish",1832458,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
34,"Turks (feat. Travis Scott)",NAV,1815717,https://open.spotify.com/track/0lSZh5W0wDeurkGzLYY6hf
35,"Life Is Good (feat. Drake)",Future,1811686,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
36,Ignorantes,"Bad Bunny",1801299,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
37,"WHATS POPPIN","Jack Harlow",1781593,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
38,"Before You Go","Lewis Capaldi",1734628,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
39,Yummy,"Justin Bieber",1635743,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
40,Señorita,"Shawn Mendes",1630535,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
41,Amarillo,"J Balvin",1580387,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
42,Morado,"J Balvin",1565610,https://open.spotify.com/track/35KmOEIUqAGn02t7n4qaIr
43,"Like It Is",Kygo,1492541,https://open.spotify.com/track/3frUvGrmGcay91lvFbOgsN
44,Tattoo,"Rauw Alejandro",1442371,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
45,"Sigues Con El","Dímelo Flow",1424246,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
46,"lovely (with Khalid)","Billie Eilish",1398230,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
47,"You should be sad",Halsey,1375837,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
48,Vete,"Bad Bunny",1366598,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
49,"La Santa","Bad Bunny",1338404,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
50,"High Fashion (feat. Mustard)","Roddy Ricch",1324699,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
51,Heartless,"The Weeknd",1323064,https://open.spotify.com/track/6bnF93Rx87YqUBLSgjiMU8
52,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1297940,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
53,"My Oh My (feat. DaBaby)","Camila Cabello",1297254,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
54,"Lose Control",MEDUZA,1278356,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
55,"Ride It",Regard,1275607,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
56,Skechers,DripReport,1274133,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
57,"RITMO (Bad Boys For Life)","Black Eyed Peas",1262032,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
58,"CITY OF ANGELS",24kGoldn,1252704,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
59,"Moral of the Story",Ashe,1237772,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
60,"hot girl bummer",blackbear,1234850,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
61,"If the World Was Ending - feat. Julia Michaels","JP Saxe",1231463,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
62,"I Don't Care (with Justin Bieber)","Ed Sheeran",1225316,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
63,Diosa,"Myke Towers",1182520,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
64,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",1172386,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
65,"Stupid Love","Lady Gaga",1159947,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
66,"10,000 Hours (with Justin Bieber)","Dan + Shay",1146201,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
67,"Lucid Dreams","Juice WRLD",1130951,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
68,"when the party's over","Billie Eilish",1090746,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
69,"Save Your Tears","The Weeknd",1076460,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
70,P2,"Lil Uzi Vert",1073182,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
71,"Like That (feat. Gucci Mane)","Doja Cat",1072000,https://open.spotify.com/track/4EivmOT13NMpNSfTKn9p4s
72,"No Time To Die","Billie Eilish",1063944,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
73,"Hola - Remix",Dalex,1062235,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
74,"Know Your Worth",Khalid,1042787,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
75,"Forever (feat. Post Malone & Clever)","Justin Bieber",1024012,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
76,"Suicidal (Remix) [feat. Juice WRLD]","YNW Melly",1022537,https://open.spotify.com/track/4S2uhQE8L9V6p7rj7SiauJ
77,"What If I Told You That I Love You","Ali Gatie",1005065,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
78,"Never Seen the Rain","Tones And I",1002420,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
79,"That Way - Bonus Track","Lil Uzi Vert",1000626,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
80,"Beautiful People (feat. Khalid)","Ed Sheeran",998319,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
81,Levitating,"Dua Lipa",990969,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
82,"HIGHEST IN THE ROOM","Travis Scott",988020,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
83,"Breaking Me",Topic,979406,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
84,Hallucinate,"Dua Lipa",964536,https://open.spotify.com/track/1nYeVF5vIBxMxfPoL0SIWg
85,"To Die For","Sam Smith",963297,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
86,"In Your Eyes (feat. Alida)","Robin Schulz",961540,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
87,Shallow,"Lady Gaga",959311,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
88,"Ballin' (with Roddy Ricch)",Mustard,955273,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
89,Falling,"Harry Styles",946985,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
90,Lalala,Y2K,945542,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
91,"It's You","Ali Gatie",941112,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
92,"What A Man Gotta Do","Jonas Brothers",932770,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
93,Myron,"Lil Uzi Vert",931934,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ
94,"Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake)","Lil Yachty",920230,https://open.spotify.com/track/7wsmIIm0xWmtP7TmACXkJn
95,"ily (i love you baby) (feat. Emilee)","Surf Mesa",917652,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
96,"Lose You To Love Me","Selena Gomez",911721,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
97,Believer,"Imagine Dragons",907295,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
98,"rockstar (feat. 21 Savage)","Post Malone",907256,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
99,"7 rings","Ariana Grande",900468,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
100,"Watermelon Sugar","Harry Styles",896018,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
101,BOP,DaBaby,892961,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
102,Keii,"Anuel AA",886845,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
103,"Hardest To Love","The Weeknd",885022,https://open.spotify.com/track/6kWxIqQDsKFYCJGbU4AjCX
104,"Pretty Please","Dua Lipa",870784,https://open.spotify.com/track/6DXZiYUbrYgrVIhfX3U9Z2
105,China,"Anuel AA",870693,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
106,"Get You The Moon (feat. Snøw)",Kina,865050,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
107,"I Love Me","Demi Lovato",862483,https://open.spotify.com/track/2IHLaN6wwYKQ3S24NsQqpA
108,Happier,Marshmello,860854,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
109,Suicidal,"YNW Melly",858137,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
110,"No Idea","Don Toliver",855971,https://open.spotify.com/track/7AzlLxHn24DxjgQX73F9fU
111,Muévelo,"Nicky Jam",854860,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
112,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",853239,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
113,"OUT WEST (feat. Young Thug)",JACKBOYS,848889,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
114,Maniac,"Conan Gray",844943,https://open.spotify.com/track/6KfoDhO4XUWSbnyKjNp9c4
115,SAD!,XXXTENTACION,842603,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
116,"Goodbyes (Feat. Young Thug)","Post Malone",842237,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
117,Ransom,"Lil Tecca",840325,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
118,"Old Me","5 Seconds of Summer",836076,https://open.spotify.com/track/4POHzEwNTCYaIvqCUp3NnO
119,Blanco,"J Balvin",834345,https://open.spotify.com/track/5pXy29xzxR3aTB0SYRI590
120,"Jocelyn Flores",XXXTENTACION,831016,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
121,"LA CANCIÓN","J Balvin",829822,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
122,"A Tu Merced","Bad Bunny",829458,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
123,"Me Gusta",Shakira,828742,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
124,Cool,"Dua Lipa",821485,https://open.spotify.com/track/2nMOodYNHBAQ3Kc1QNimZU
125,"Love Again","Dua Lipa",816019,https://open.spotify.com/track/4rPkN1FMzQyFNP9cLUGIIB
126,"Scared To Live","The Weeknd",811513,https://open.spotify.com/track/4BGZF4oLbTL0pWm7C18pbv
127,Bruises,"Lewis Capaldi",809410,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
