,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
128,"Without Me",Halsey,807497,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
129,"Future Nostalgia","Dua Lipa",805199,https://open.spotify.com/track/6zrJLhslleCHby0wbUnvVy
130,Fantasias,"Rauw Alejandro",801495,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
131,"Bohemian Rhapsody - 2011 Mix",Queen,795141,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
132,"Pero Ya No","Bad Bunny",791087,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
133,"Go Stupid (feat. NLE Choppa & Mike WiLL Made-It)","Polo G",790771,https://open.spotify.com/track/74fV8TuLZKVzSIOOGu8wwI
134,"Old Town Road - Remix","Lil Nas X",790201,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
135,"Say You Won't Let Go","James Arthur",787920,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
136,"No Me Conoce - Remix","Jhay Cortez",785072,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
137,"Make You Mine",PUBLIC,781180,https://open.spotify.com/track/5iFwAOB2TFkPJk8sMlxP8g
138,SUGAR,BROCKHAMPTON,778035,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
139,Callaita,"Bad Bunny",776640,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
140,"Shape of You","Ed Sheeran",771324,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
141,"Can We Kiss Forever?",Kina,769081,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
142,Azul,"J Balvin",768233,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
143,July,"Noah Cyrus",758060,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
144,"Alone Again","The Weeknd",748690,https://open.spotify.com/track/6b5P51m8xx2XA6U7sdNZ5E
145,Sucker,"Jonas Brothers",748631,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
146,Salt,"Ava Max",747541,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
147,Wow.,"Post Malone",742600,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
148,Robbery,"Juice WRLD",740445,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
149,Perfect,"Ed Sheeran",735088,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
150,WANNABE,ITZY,730988,https://open.spotify.com/track/6tCssnvTUREcperDOUTqvA
151,"ocean eyes","Billie Eilish",730062,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
152,"How Do You Sleep?","Sam Smith",726701,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
153,"Good In Bed","Dua Lipa",724388,https://open.spotify.com/track/6uAFJ75WDAoAPyCWJAtvks
154,"Too Late","The Weeknd",722092,https://open.spotify.com/track/2K9Ovn1o2bTGqbsABGC6m3
155,"Eastside (with Halsey & Khalid)","benny blanco",715013,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
156,Faith,"The Weeknd",713142,https://open.spotify.com/track/3orEOtd8CPL8GFlpRpKuoE
157,goosebumps,"Travis Scott",710313,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
158,Dior,"Pop Smoke",705693,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
159,"SICKO MODE","Travis Scott",704407,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
160,Moonlight,XXXTENTACION,698815,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
161,"Money In The Grave (Drake ft. Rick Ross)",Drake,698094,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
162,Snowchild,"The Weeknd",686069,https://open.spotify.com/track/3WlbeuhfRSqU7ylK2Ui5U7
163,"All of Me","John Legend",684730,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
164,"Higher Love",Kygo,683684,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
165,"Lights Up","Harry Styles",683644,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
166,"The Take (feat. Chris Brown)","Tory Lanez",683054,https://open.spotify.com/track/0Odu228D0yGcFySGuxU4rY
167,"Fantasias - Remix","Rauw Alejandro",683003,https://open.spotify.com/track/0A37XY67wSdGqkGjtfW6aV
168,"Alone, Pt. II","Alan Walker",682134,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
169,Takeaway,"The Chainsmokers",681133,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
170,"Sweet but Psycho","Ava Max",680904,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
171,"Du bist mein",Zuna,679918,https://open.spotify.com/track/719aY5gAzJbx2PHjyalZQu
172,Medusa,"Jhay Cortez",673970,https://open.spotify.com/track/3qM0vBxIe4VUbK0Z0smuVP
173,Jangueo,"Alex Rose",672771,https://open.spotify.com/track/5m3jpKkgkfoMcym1qjToFg
174,"The Less I Know The Better","Tame Impala",672031,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
175,Wildflower,"5 Seconds of Summer",668885,https://open.spotify.com/track/353IDEfNzPJmGNRnOi5kJ1
176,"Dancing With A Stranger (with Normani)","Sam Smith",667115,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
177,"Escape From LA","The Weeknd",666615,https://open.spotify.com/track/1sOW4PuG5X3Ie3EXUhAopJ
178,"Hate Me (with Juice WRLD)","Ellie Goulding",666176,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
179,"Piece Of Your Heart",MEDUZA,664445,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
180,"Be Alright","Dean Lewis",663901,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
181,Bichiyal,"Bad Bunny",663874,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
182,"I Like Me Better",Lauv,663475,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
183,"thank u, next","Ariana Grande",657791,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
184,Youngblood,"5 Seconds of Summer",656167,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
185,"Better Now","Post Malone",654924,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
186,"Let Me Down Slowly","Alec Benjamin",654761,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
187,PTSD,"G Herbo",654619,https://open.spotify.com/track/3jT2LKH0RSbQ8jIUNFzXm5
188,"Kings & Queens","Ava Max",644377,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
189,"Girls Like You (feat. Cardi B)","Maroon 5",642668,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
190,"3 Nights","Dominic Fike",642448,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX
191,"If I Can't Have You","Shawn Mendes",641889,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
192,Starboy,"The Weeknd",640220,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
193,BRABA,"Luísa Sonza",636398,https://open.spotify.com/track/2WlZuBDgLfT7Kc0admhFdg
194,I.F.L.Y.,Bazzi,634476,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
195,"i love you","Billie Eilish",632595,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
196,"Good as Hell (feat. Ariana Grande)",Lizzo,632208,https://open.spotify.com/track/2rjjNUYONZqC7wSd1i6OFq
197,"XO Tour Llif3","Lil Uzi Vert",632153,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
198,changes,XXXTENTACION,629492,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
199,"Boys Will Be Boys","Dua Lipa",623520,https://open.spotify.com/track/0vQcyuMEfRBd21ojZ62N2L
200,"A Gente Fez Amor - Ao Vivo","Gusttavo Lima",621401,https://open.spotify.com/track/3tv697PZNnaQN0Mn2zGhS5
