,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Toosie Slide",Drake,6574812,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
2,"THE SCOTTS","THE SCOTTS",5786634,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
3,"Blinding Lights","The Weeknd",5638184,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
4,"Pain 1993 (with Playboi Carti)",Drake,5247387,https://open.spotify.com/track/6Kj17Afjo1OKJYpf5VzCeo
5,"Roses - Imanbek Remix","SAINt JHN",4852147,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
6,"death bed (coffee for your head)",Powfu,3960867,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
7,"Don't Start Now","Dua Lipa",3865484,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
8,"Chicago Freestyle (feat. Giveon)",Drake,3513032,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
9,"Dance Monkey","Tones And I",3433669,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
10,"The Box","Roddy Ricch",3393380,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
11,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",3263894,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
12,"Say So","Doja Cat",3221828,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
13,"Blueberry Faygo","Lil Mosey",3213348,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
14,D4L,Future,3123117,https://open.spotify.com/track/5fHrHoJKfCgBd35zwIBmUK
15,"Deep Pockets",Drake,3074958,https://open.spotify.com/track/3IvMYBE7A3c7to1aEcfFJk
16,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,3027081,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
17,"Not You Too (feat. Chris Brown)",Drake,2975819,https://open.spotify.com/track/3Q4gttWQ6hxqWOa3tHoTNi
18,"Desires (with Future)",Drake,2869224,https://open.spotify.com/track/7eYAHC0RbBF9eaqWzT34Aq
19,"SICKO MODE","Travis Scott",2866702,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
20,"When To Say When",Drake,2861171,https://open.spotify.com/track/5TCBWmEBrin7etRa4Lswr1
21,"Break My Heart","Dua Lipa",2743060,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
22,goosebumps,"Travis Scott",2731375,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
23,"Time Flies",Drake,2680305,https://open.spotify.com/track/5H4mXWKcicuLKDn4Jy0sK7
24,Supalonely,BENEE,2679855,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
25,"Demons (feat. Fivio Foreign & Sosa Geek)",Drake,2652210,https://open.spotify.com/track/05aZ9sAU1YXndHv0FMi9iW
26,Righteous,"Juice WRLD",2650139,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t
27,Landed,Drake,2530901,https://open.spotify.com/track/3KixNgUEaDtrKJVzdqjU5q
28,"Intentions (feat. Quavo)","Justin Bieber",2523903,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
29,"Be Kind (with Halsey)",Marshmello,2428184,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
30,Falling,"Trevor Daniel",2419976,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
31,Losses,Drake,2353146,https://open.spotify.com/track/6fLVTVaHWaEfVKfEgbkf4D
32,"Sunday Best",Surfaces,2347842,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
33,"HIGHEST IN THE ROOM","Travis Scott",2334523,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
34,War,Drake,2207166,https://open.spotify.com/track/1I55Ea0zVoSKs6MqW7DQ3i
35,"Boss Bitch","Doja Cat",2198861,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
36,"From Florida With Love",Drake,2196891,https://open.spotify.com/track/0YkUwXxnTkeJBvt5upeEtP
37,"Someone You Loved","Lewis Capaldi",2189516,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
38,"Yo Perreo Sola","Bad Bunny",2132041,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
39,ROXANNE,"Arizona Zervas",2131680,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
40,Circles,"Post Malone",2124648,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
41,Safaera,"Bad Bunny",2047921,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
42,"ily (i love you baby) (feat. Emilee)","Surf Mesa",1991027,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
43,Tusa,"KAROL G",1950041,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
44,"WHATS POPPIN","Jack Harlow",1925500,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
45,"In Your Eyes","The Weeknd",1911966,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
46,"Life Is Good (feat. Drake)",Future,1874879,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
47,"Adore You","Harry Styles",1838691,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
48,Savage,"Megan Thee Stallion",1829107,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
49,Physical,"Dua Lipa",1792853,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
50,"Say So (feat. Nicki Minaj)","Doja Cat",1730886,https://open.spotify.com/track/11VApNQCWLJdzxWrlmwzUa
51,Memories,"Maroon 5",1673574,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
52,Favorito,Camilo,1664037,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
53,"bad guy","Billie Eilish",1661945,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
54,"Before You Go","Lewis Capaldi",1616184,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
55,Rojo,"J Balvin",1613294,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
56,"If the World Was Ending - feat. Julia Michaels","JP Saxe",1586032,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
57,"Nicht verdient","Capital Bra",1543606,https://open.spotify.com/track/7v8OynJxOxHoeS5C2UA9Y7
58,Señorita,"Shawn Mendes",1542208,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
59,"Godzilla (feat. Juice WRLD)",Eminem,1484549,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
60,"everything i wanted","Billie Eilish",1457016,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
61,Skechers,DripReport,1453054,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
62,"I’m Ready (with Demi Lovato)","Sam Smith",1388534,https://open.spotify.com/track/1fipvP2zmef6vN2IwXfJhY
63,Tattoo,"Rauw Alejandro",1365754,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
64,"Breaking Me",Topic,1362474,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
65,"Ride It",Regard,1347690,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
66,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1315285,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
67,"Play Date","Melanie Martinez",1298771,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
68,"lovely (with Khalid)","Billie Eilish",1290481,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
69,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",1265818,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
70,Amarillo,"J Balvin",1258566,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
71,PORFA,Feid,1253449,https://open.spotify.com/track/4TOmcZvw0gHa7GiXRbcYAW
72,"La Difícil","Bad Bunny",1214850,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
73,Ignorantes,"Bad Bunny",1187366,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
74,"Lose Control",MEDUZA,1164116,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
