,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
75,"Lucid Dreams","Juice WRLD",1144840,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
76,"Qué Maldición","Banda MS de Sergio Lizárraga",1133048,https://open.spotify.com/track/2RxC2peY3FtrurYmbbmanr
77,"hot girl bummer",blackbear,1121753,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
78,"Si Veo a Tu Mamá","Bad Bunny",1110131,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
79,Yummy,"Justin Bieber",1107791,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
80,Salt,"Ava Max",1107373,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
81,"RITMO (Bad Boys For Life)","Black Eyed Peas",1093069,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
82,Morado,"J Balvin",1076195,https://open.spotify.com/track/35KmOEIUqAGn02t7n4qaIr
83,"I Don't Care (with Justin Bieber)","Ed Sheeran",1070428,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
84,Diosa,"Myke Towers",1051499,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
85,"BELIEVE IT",PARTYNEXTDOOR,1034341,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
86,"Level of Concern","Twenty One Pilots",1027914,https://open.spotify.com/track/6xZ4Q2k2ompmDppyeESIY8
87,"After Party","Don Toliver",1024880,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
88,"Ballin' (with Roddy Ricch)",Mustard,1010065,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
89,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",1007231,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
90,Shallow,"Lady Gaga",996879,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
91,"My Oh My (feat. DaBaby)","Camila Cabello",996191,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
92,"Like It Is",Kygo,988263,https://open.spotify.com/track/3frUvGrmGcay91lvFbOgsN
93,"10,000 Hours (with Justin Bieber)","Dan + Shay",986210,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
94,"Like That (feat. Gucci Mane)","Doja Cat",983151,https://open.spotify.com/track/4EivmOT13NMpNSfTKn9p4s
95,"You should be sad",Halsey,975375,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
96,"High Fashion (feat. Mustard)","Roddy Ricch",974931,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
97,"CITY OF ANGELS",24kGoldn,971465,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
98,STARGAZING,"Travis Scott",965754,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
99,Selfish,"Madison Beer",961222,https://open.spotify.com/track/4PV0uE5pZSh44E3NqNNDEH
100,"when the party's over","Billie Eilish",958238,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
101,"OUT WEST (feat. Young Thug)",JACKBOYS,955979,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
102,"Beautiful People (feat. Khalid)","Ed Sheeran",951944,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
103,"Know Your Worth",Khalid,951161,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
104,"BUTTERFLY EFFECT","Travis Scott",931823,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
105,"Sigues Con El","Dímelo Flow",903922,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
106,"Hola - Remix",Dalex,897622,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
107,P2,"Lil Uzi Vert",891286,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
108,Believer,"Imagine Dragons",890285,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
109,"rockstar (feat. 21 Savage)","Post Malone",881964,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
110,"In Your Eyes (feat. Alida)","Robin Schulz",880169,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
111,Vete,"Bad Bunny",879780,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
112,"7 rings","Ariana Grande",879075,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
113,"Turks (feat. Travis Scott)",NAV,870417,https://open.spotify.com/track/0lSZh5W0wDeurkGzLYY6hf
114,Falling,"Harry Styles",868019,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
115,Astronomia,Vicetone,863355,https://open.spotify.com/track/665AK0ovB11McZRwfa852G
116,"Moral of the Story",Ashe,862024,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
117,Happier,Marshmello,851779,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
118,Lalala,Y2K,848441,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
119,"This City","Sam Fischer",847089,https://open.spotify.com/track/3H3r2nKWa3Yk5gt8xgmsEt
120,"Watermelon Sugar","Harry Styles",834759,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
121,"Bohemian Rhapsody - 2011 Mix",Queen,832111,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
122,Myron,"Lil Uzi Vert",829648,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ
123,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",827848,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
124,Ransom,"Lil Tecca",827488,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
125,"La Santa","Bad Bunny",825349,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
126,SAD!,XXXTENTACION,823507,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
127,Boyfriend,"Selena Gomez",820899,https://open.spotify.com/track/4QnC1bIaMSfDQvF4XDhV5M
128,"Suicidal (Remix) [feat. Juice WRLD]","YNW Melly",820198,https://open.spotify.com/track/4S2uhQE8L9V6p7rj7SiauJ
129,"Shape of You","Ed Sheeran",810949,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
130,"Jocelyn Flores",XXXTENTACION,810424,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
131,Jangueo,"Alex Rose",809438,https://open.spotify.com/track/5m3jpKkgkfoMcym1qjToFg
132,BOP,DaBaby,799861,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
133,"It's You","Ali Gatie",797851,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
134,"No Idea","Don Toliver",794955,https://open.spotify.com/track/7AzlLxHn24DxjgQX73F9fU
135,"We Paid (feat. 42 Dugg)","Lil Baby",792101,https://open.spotify.com/track/6gxKUmycQX7uyMwJcweFjp
136,"Without Me",Halsey,790113,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
137,"Money In The Grave (Drake ft. Rick Ross)",Drake,788765,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
138,"What A Man Gotta Do","Jonas Brothers",788042,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
139,"Kings & Queens","Ava Max",782239,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
140,"After Hours","The Weeknd",781284,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
141,"Say You Won't Let Go","James Arthur",776299,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
142,Robbery,"Juice WRLD",775044,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
143,China,"Anuel AA",770458,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
144,MAMACITA,"Black Eyed Peas",769875,https://open.spotify.com/track/14wf185UxfNbSy8dwt4r4q
145,"Goodbyes (Feat. Young Thug)","Post Malone",764792,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
146,"Lose You To Love Me","Selena Gomez",763348,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
147,Perfect,"Ed Sheeran",762997,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
148,Heartless,"The Weeknd",757732,https://open.spotify.com/track/6bnF93Rx87YqUBLSgjiMU8
149,"Old Town Road - Remix","Lil Nas X",753160,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
150,Bruises,"Lewis Capaldi",749175,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
151,"What If I Told You That I Love You","Ali Gatie",748028,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
152,"FIND MY WAY",DaBaby,746599,https://open.spotify.com/track/1gVCEnryJhkdQcuC0Kbvor
153,Emotions,Ufo361,743483,https://open.spotify.com/track/6lU4BQWZomCWRfKSowfezE
154,"Make You Mine",PUBLIC,733962,https://open.spotify.com/track/5iFwAOB2TFkPJk8sMlxP8g
155,"A Gente Fez Amor - Ao Vivo","Gusttavo Lima",733439,https://open.spotify.com/track/3tv697PZNnaQN0Mn2zGhS5
156,Fantasias,"Rauw Alejandro",729934,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
157,"No Me Conoce - Remix","Jhay Cortez",728942,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
158,"Eleven (feat. Summer Walker)",Khalid,728059,https://open.spotify.com/track/18O00Y7yrkJ0pRXm1n21Og
159,"Get You The Moon (feat. Snøw)",Kina,727612,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
160,"LA CANCIÓN","J Balvin",723502,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
161,"bloody valentine","Machine Gun Kelly",721984,https://open.spotify.com/track/1bWEngw5tAF7vWByrf5Oy5
162,Sucker,"Jonas Brothers",718449,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
163,Wow.,"Post Malone",718147,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
164,Muévelo,"Nicky Jam",716232,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
165,PTSD,"G Herbo",714914,https://open.spotify.com/track/3jT2LKH0RSbQ8jIUNFzXm5
166,"Never Seen the Rain","Tones And I",714861,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
167,"Sigues Con El - Remix",Arcangel,713395,https://open.spotify.com/track/4Pu0a2TuHOYtI4CCE3HEXI
168,July,"Noah Cyrus",703893,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
169,"Sweet but Psycho","Ava Max",701018,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
170,"God's Plan",Drake,699358,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
171,"The Less I Know The Better","Tame Impala",695476,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
172,Azul,"J Balvin",695324,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
173,Keii,"Anuel AA",689231,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
174,"Higher Love",Kygo,686665,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
175,"Be Alright","Dean Lewis",685274,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
176,"All of Me","John Legend",684422,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
177,Suicidal,"YNW Melly",682549,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
178,"Piece Of Your Heart",MEDUZA,679754,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
179,"Liberdade Provisória - Ao Vivo","Henrique & Juliano",675925,https://open.spotify.com/track/3Ghyp3X5Ua9ypHnBIgOObI
180,Callaita,"Bad Bunny",674563,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
181,"Gimme Love",Joji,671916,https://open.spotify.com/track/2hfoyc7ve6xM4ZEiNIiU1B
182,"Dancing With A Stranger (with Normani)","Sam Smith",671748,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
183,"Eastside (with Halsey & Khalid)","benny blanco",666296,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
184,"ocean eyes","Billie Eilish",663897,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
185,Youngblood,"5 Seconds of Summer",663599,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
186,"No Time To Die","Billie Eilish",663582,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
187,"Por Primera Vez",Camilo,659303,https://open.spotify.com/track/0pgj4EzB1XRqgZemoMNG5D
188,Moonlight,XXXTENTACION,656545,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
189,"Party Girl",StaySolidRocky,656039,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
190,"Six Feet Apart","Luke Combs",651848,https://open.spotify.com/track/5v6gozUHFv9OoNdFYz6p8V
191,"Better Now","Post Malone",649475,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
192,"High Hopes","Panic! At The Disco",646312,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
193,"Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake)","Lil Yachty",645541,https://open.spotify.com/track/7wsmIIm0xWmtP7TmACXkJn
194,"Something Just Like This","The Chainsmokers",642289,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
195,"Let Me Down Slowly","Alec Benjamin",641775,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
196,"A Tu Merced","Bad Bunny",638206,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
197,"thank u, next","Ariana Grande",637771,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
198,"If I Can't Have You","Shawn Mendes",637762,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
199,"Broke In A Minute","Tory Lanez",637253,https://open.spotify.com/track/4xqIYGwwZTEem9U8A42SPF
200,"@ MEH","Playboi Carti",636270,https://open.spotify.com/track/5UusfWUMMLEXLMc1ViNZoe
