,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",5465968,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,"The Box","Roddy Ricch",5203730,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,"Dance Monkey","Tones And I",5100257,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"Don't Start Now","Dua Lipa",4339547,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,Ignorantes,"Bad Bunny",4101396,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
6,"La Difícil","Bad Bunny",4007264,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
7,"Intentions (feat. Quavo)","Justin Bieber",3749540,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
8,Tusa,"KAROL G",3748345,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
9,"Si Veo a Tu Mamá","Bad Bunny",3698610,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
10,Falling,"Trevor Daniel",3418555,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
11,ROXANNE,"Arizona Zervas",3348534,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
12,"Say So","Doja Cat",3341662,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
13,"La Santa","Bad Bunny",3208476,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
14,Vete,"Bad Bunny",3118595,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
15,"Stupid Love","Lady Gaga",2857511,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
16,Yummy,"Justin Bieber",2633019,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
17,"No Time To Die","Billie Eilish",2609303,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
18,"Pero Ya No","Bad Bunny",2573848,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
19,Circles,"Post Malone",2570110,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
20,"Life Is Good (feat. Drake)",Future,2567783,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
21,"Someone You Loved","Lewis Capaldi",2525297,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
22,"everything i wanted","Billie Eilish",2419064,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
23,Memories,"Maroon 5",2388214,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
24,"Yo Perreo Sola","Bad Bunny",2305555,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
25,"Sunday Best",Surfaces,2264620,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
26,"Godzilla (feat. Juice WRLD)",Eminem,2234398,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
27,"Adore You","Harry Styles",2163580,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
28,"After Hours","The Weeknd",2142551,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
29,"Blueberry Faygo","Lil Mosey",2132785,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
30,"bad guy","Billie Eilish",2103870,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
31,"Roses - Imanbek Remix","SAINt JHN",2064108,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
32,Bichiyal,"Bad Bunny",1997788,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
33,Soliá,"Bad Bunny",1981580,https://open.spotify.com/track/7sOfmPd18RWp3FoCzpa7Kw
34,Safaera,"Bad Bunny",1956704,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
35,Señorita,"Shawn Mendes",1940167,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
36,"death bed (coffee for your head)",Powfu,1927461,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
37,"Before You Go","Lewis Capaldi",1916900,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
38,"You should be sad",Halsey,1872495,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
39,"RITMO (Bad Boys For Life)","Black Eyed Peas",1854196,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
40,"Sigues Con El","Dímelo Flow",1841916,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
41,"My Oh My (feat. DaBaby)","Camila Cabello",1810244,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
42,"Está Cabrón Ser Yo","Bad Bunny",1794862,https://open.spotify.com/track/4saHEjXw7O1NXJOzBkUKKG
43,René,Residente,1784206,https://open.spotify.com/track/6gm12xlADJwiBbHIKBXzGW
44,Morado,"J Balvin",1781822,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
45,Physical,"Dua Lipa",1765878,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
46,Rojo,"J Balvin",1756041,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG
47,"Que Malo","Bad Bunny",1743104,https://open.spotify.com/track/53v2u51nq3CxiKUNphRzP1
48,"A Tu Merced","Bad Bunny",1737134,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
49,"Moral of the Story",Ashe,1734400,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
50,"La Zona","Bad Bunny",1714128,https://open.spotify.com/track/5kqNIqFjijuzvVLhuY9B8j
51,<3,"Bad Bunny",1654204,https://open.spotify.com/track/4MZSqgwlE71CWZ6qQ3gkKm
52,25/8,"Bad Bunny",1649429,https://open.spotify.com/track/4NqQaovM14WR2hNPMFxgjb
53,"High Fashion (feat. Mustard)","Roddy Ricch",1599757,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
54,"Una Vez","Bad Bunny",1565745,https://open.spotify.com/track/5J7teKIJGtqVypgYI6sqXj
55,"Lose Control",MEDUZA,1551328,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
56,"Hablamos Mañana","Bad Bunny",1536052,https://open.spotify.com/track/1V8XneTrX6kKeoxYbk4x6h
57,"Hola - Remix",Dalex,1529533,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
58,"Forever (feat. Post Malone & Clever)","Justin Bieber",1510584,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
59,"Ride It",Regard,1456446,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
60,ON,BTS,1420895,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
61,"To Die For","Sam Smith",1395785,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
62,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1387735,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
63,Diosa,"Myke Towers",1380490,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
