,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
31,"Wishing Well","Juice WRLD",1883562,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
32,"Before You Go","Lewis Capaldi",1841944,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
33,"you broke me first","Tate McRae",1833373,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
34,Relación,Sech,1830608,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
35,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",1800696,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
36,"Over Now (with The Weeknd)","Calvin Harris",1791429,https://open.spotify.com/track/58AGoOGbwsQMhBbH0eFLRR
37,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,1784693,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
38,"How You Like That",BLACKPINK,1706557,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
39,"Go Crazy","Chris Brown",1676004,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
40,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",1629743,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
41,"Break My Heart","Dua Lipa",1601897,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
42,"Don't Start Now","Dua Lipa",1600423,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
43,"Blueberry Faygo","Lil Mosey",1599384,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
44,"GREECE (feat. Drake)","DJ Khaled",1591022,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
45,MAMACITA,"Black Eyed Peas",1545340,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
46,"Djadja (feat. Maluma) - Remix","Aya Nakamura",1529721,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt
47,"ily (i love you baby) (feat. Emilee)","Surf Mesa",1518907,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
48,"Stuck with U (with Justin Bieber)","Ariana Grande",1508893,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
49,"Ayer Me Llamó Mi Ex (feat. Lenny Santos)",KHEA,1456014,https://open.spotify.com/track/6C6mUonH6MNdSg5pw7kOc9
50,"Mamichula - con Nicki Nicole",Trueno,1447365,https://open.spotify.com/track/4pXW6ZAHBz7ODXTRKklWrM
51,"Kings & Queens","Ava Max",1438704,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
52,"Party Girl",StaySolidRocky,1422576,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
53,"Still Don't Know My Name",Labrinth,1396382,https://open.spotify.com/track/6N22FZs2ZhPBYi3b9XPajV
54,Circles,"Post Malone",1345363,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
55,"Take You Dancing","Jason Derulo",1336945,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
56,"Toosie Slide",Drake,1335756,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
57,"Adore You","Harry Styles",1324203,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
58,"The Box","Roddy Ricch",1300398,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
59,goosebumps,"Travis Scott",1221577,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
60,cardigan,"Taylor Swift",1209312,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd
61,"Lucid Dreams","Juice WRLD",1209029,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
62,"Mi Cuarto","Jerry Di",1204767,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
63,"Electric Love",BØRNS,1197597,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
64,"my ex's best friend (with blackbear)","Machine Gun Kelly",1179561,https://open.spotify.com/track/70rFIfYN7lU6iTgUIVP42w
65,Falling,"Trevor Daniel",1171938,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
66,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1165259,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
67,Señorita,"Shawn Mendes",1161924,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
68,Memories,"Maroon 5",1161860,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
69,Tusa,"KAROL G",1160509,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
70,"Intentions (feat. Quavo)","Justin Bieber",1150598,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
71,Robbery,"Juice WRLD",1143264,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
72,"my future","Billie Eilish",1139575,https://open.spotify.com/track/2ygvZOXrIeVL4xZmAWJT2C
73,"TKN (feat. Travis Scott)",ROSALÍA,1118509,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
74,"In Your Eyes","The Weeknd",1114680,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
75,"HIGHEST IN THE ROOM","Travis Scott",1107512,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
76,"Blastoff (feat. Juice Wrld & Trippie Redd)","Internet Money",1102605,https://open.spotify.com/track/2rFsFjq0D9JAmc0APpCO6P
77,"Be Kind (with Halsey)",Marshmello,1090864,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
78,"bad guy","Billie Eilish",1090282,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
79,"POPSTAR (feat. Drake)","DJ Khaled",1051539,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
80,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)","Super Yei",1043665,https://open.spotify.com/track/5DoLhdU27owX1NMrKLUbUl
81,"Hasta Que Dios Diga","Anuel AA",1042623,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
82,"lovely (with Khalid)","Billie Eilish",1033262,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
83,"Stunnin' (feat. Harm Franklin)","Curtis Waters",1013723,https://open.spotify.com/track/2D0dj3hVkRQJCp63cxCPEx
84,Dior,"Pop Smoke",1012847,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
85,"Life Is Good (feat. Drake)",Future,1000788,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
86,"SICKO MODE","Travis Scott",991059,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
87,"Say So","Doja Cat",990664,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
88,"Ride It",Regard,987072,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
89,ROXANNE,"Arizona Zervas",979547,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
90,Secrets,Regard,978454,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
91,Favorito,Camilo,977366,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
92,Shallow,"Lady Gaga",971894,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
93,"exile (feat. Bon Iver)","Taylor Swift",965876,https://open.spotify.com/track/4pvb0WLRcMtbPGmtejJJ6y
94,"If the World Was Ending - feat. Julia Michaels","JP Saxe",962384,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
95,"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",Feid,954425,https://open.spotify.com/track/7lUdbnz7wsv3C9zzf4WHl9
96,"THE BADDEST",K/DA,951079,https://open.spotify.com/track/2V4Fx72svQRxrFvNT1eq5f
97,"THE SCOTTS","THE SCOTTS",949591,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
98,"everything i wanted","Billie Eilish",947218,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
99,"Bande organisée",Kofs,939759,https://open.spotify.com/track/205HNJ73cgpC0LAOnuQiWT
100,"Be Like That - feat. Swae Lee & Khalid","Kane Brown",937674,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ
101,"Got It On Me","Pop Smoke",935784,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
102,"The Plan - From the Motion Picture ""TENET""","Travis Scott",931320,https://open.spotify.com/track/551xyaSJsg8hILXFq9JdST
103,Azul,"J Balvin",925417,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
104,Falling,"Harry Styles",921802,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
105,Believer,"Imagine Dragons",914204,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
106,"Sunday Best",Surfaces,913744,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
107,Supalonely,BENEE,910464,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
108,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",893639,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
109,"Not Shy",ITZY,866392,https://open.spotify.com/track/4ecVWqbtW6phQGpZMAyqIU
110,"Some Say - Felix Jaehn Remix",Nea,866231,https://open.spotify.com/track/7C1trmcQQ5n5RNy4l6ziCv
111,"Lets Link",WhoHeem,862376,https://open.spotify.com/track/0wYOlCybpxFc2azWLyYj0S
112,"Parce (feat. Justin Quiles)",Maluma,847964,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
113,"Play Date","Melanie Martinez",847570,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
114,Rojo,"J Balvin",846926,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
115,"Godzilla (feat. Juice WRLD)",Eminem,841058,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
116,"Tak Tiki Tak","Harry Nach",829621,https://open.spotify.com/track/7gwwt1IaAWwmB7af0AcuBM
117,"Nobody's Love","Maroon 5",827578,https://open.spotify.com/track/3kwgqoBqTwoAH4nT29TYrq
118,"After Party","Don Toliver",826162,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
119,"I Don't Care (with Justin Bieber)","Ed Sheeran",824102,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
120,"Caramelo - Remix",Ozuna,823739,https://open.spotify.com/track/2uu2aGqA2UblCg581Q7l1g
121,"Jocelyn Flores",XXXTENTACION,822204,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
122,"hot girl bummer",blackbear,816271,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
123,Conversations,"Juice WRLD",815624,https://open.spotify.com/track/4K06PO78fW4mnBVenxGNob
124,"All Girls Are The Same","Juice WRLD",814256,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
125,"Say You Won't Let Go","James Arthur",812088,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
126,"Are You Bored Yet? (feat. Clairo)",Wallows,810861,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm
127,"Yo Perreo Sola","Bad Bunny",809868,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
128,Safaera,"Bad Bunny",800394,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
129,"7 rings","Ariana Grande",799560,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
130,"Hate The Other Side (with Marshmello & The Kid Laroi)","Juice WRLD",794429,https://open.spotify.com/track/0ada5XsQGLPUVbmTCkAP49
131,Righteous,"Juice WRLD",793010,https://open.spotify.com/track/5dOxHHMOFAbG3VH23t0xNm
132,"Chicago Freestyle (feat. Giveon)",Drake,790590,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
133,"El Mismo Aire - con Pablo Alborán",Camilo,780799,https://open.spotify.com/track/5EbtodsuLbxrFDH6j5avVS
134,"WHATS POPPIN","Jack Harlow",779068,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
135,Perfect,"Ed Sheeran",778052,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
136,"Money Trees","Kendrick Lamar",774030,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4
137,"CÓMO SE SIENTE - Remix","Jhay Cortez",772313,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
138,"Lose Somebody",Kygo,771202,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
139,SAD!,XXXTENTACION,769838,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
140,"DOLLAZ ON MY HEAD (feat. Young Thug)",Gunna,768416,https://open.spotify.com/track/3nS9a01VvXHQriLqJYwRqG
141,"rockstar (feat. 21 Savage)","Post Malone",767978,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
142,"the 1","Taylor Swift",767781,https://open.spotify.com/track/0Jlcvv8IykzHaSmj49uNW8
143,"When I Look At You","Miley Cyrus",767009,https://open.spotify.com/track/6ZfXA2xakAvphXOSOJ3u1W
144,"Shape of You","Ed Sheeran",765980,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
145,"when the party's over","Billie Eilish",760150,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
146,"Lose Control",MEDUZA,750190,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
147,"Tap In",Saweetie,741706,https://open.spotify.com/track/4Hpib09wXgD84w4uwTPnYD
148,"Boy With Luv (feat. Halsey)",BTS,740809,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
149,GOOBA,6ix9ine,737405,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
150,"GO (feat. Juice WRLD)","The Kid LAROI",736082,https://open.spotify.com/track/2rPHUAeUPbNgTmK18FPTiZ
151,"Beautiful People (feat. Khalid)","Ed Sheeran",735483,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
152,Physical,"Dua Lipa",733050,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
153,ADMV,Maluma,731463,https://open.spotify.com/track/4j3iq13kHs5PB94jdTp3Y3
154,Madrid,Maluma,731040,https://open.spotify.com/track/19OXtYzrJyCrQvTbfukt4H
155,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",730171,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
156,"Bohemian Rhapsody - 2011 Mix",Queen,726747,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
157,21,"Polo G",720159,https://open.spotify.com/track/3JKgcAa7r07ocVWcV8bS0H
158,"Oh Juliana",Niack,719449,https://open.spotify.com/track/4xWzZmX4K1yyrdtRfbUvjt
159,"No Guidance (feat. Drake)","Chris Brown",710212,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
160,"feel something","Bea Miller",709924,https://open.spotify.com/track/7JDWhC422Gtk1Bq0mL3OTC
161,"Someone To You",BANNERS,708376,https://open.spotify.com/track/2f0pn9DkEJwAzXApnFh5cr
162,"Boss Bitch","Doja Cat",705763,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
163,"All of Me","John Legend",704590,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
164,"Without Me",Halsey,695943,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
165,Jeans,"Justin Quiles",695582,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
166,Happier,Marshmello,694216,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
167,"Be Alright","Dean Lewis",691377,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
168,"7 Summers","Morgan Wallen",689043,https://open.spotify.com/track/0Z0kNthq0sS4lvGz9SSlBF
169,"Quiéreme Mientras Se Pueda","Manuel Turizo",682544,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
170,"Get You The Moon (feat. Snøw)",Kina,678202,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
171,"Martin & Gina","Polo G",677577,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
172,"Ain't It Different (feat. AJ Tracey & Stormzy)","Headie One",674426,https://open.spotify.com/track/6NJfIydBMYrXvlaXsFxmc8
173,"Something Just Like This","The Chainsmokers",672605,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
174,"Let Her Go",Passenger,672519,https://open.spotify.com/track/2jyjhRf6DVbMPU5zxagN2h
175,"Star Shopping","Lil Peep",672430,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
176,"We Paid (feat. 42 Dugg)","Lil Baby",670981,https://open.spotify.com/track/6gxKUmycQX7uyMwJcweFjp
177,Bruises,"Lewis Capaldi",667827,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
178,Mariposa,"Peach Tree Rascals",667201,https://open.spotify.com/track/4ja2gzrNh9VNigzoXfmbwD
179,"10,000 Hours (with Justin Bieber)","Dan + Shay",662968,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
180,Alane,"Robin Schulz",661081,https://open.spotify.com/track/2u6Jm2klS4yvAlbSHlxUwI
181,Jangueo,"Alex Rose",660744,https://open.spotify.com/track/1bRpSCFv6P2OUhciByeRYR
182,"The Less I Know The Better","Tame Impala",658903,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
183,"What's Love Got to Do with It",Kygo,658241,https://open.spotify.com/track/3Be7CLdHZpyzsVijme39cW
184,"RITMO (Bad Boys For Life)","Black Eyed Peas",657803,https://open.spotify.com/track/4NCsrTzgVfsDo8nWyP8PPc
185,Unterwegs,KitschKrieg,656529,https://open.spotify.com/track/7mrWTjhYctgEQb0lJKrVWy
186,"Cry About It Later","Katy Perry",656213,https://open.spotify.com/track/1RsD951uUUlJx0MRioZfev
187,"Sour Candy (with BLACKPINK)","Lady Gaga",655822,https://open.spotify.com/track/1IWNylpZ477gIVUDpJL66u
188,Moonlight,XXXTENTACION,653436,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
189,"Sweater Weather","The Neighbourhood",648672,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
190,July,"Noah Cyrus",647567,https://open.spotify.com/track/6J2LdBN97cDWn0MLxYh9HB
191,"OUT WEST (feat. Young Thug)",JACKBOYS,646287,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
192,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",641824,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
193,"It's You","Ali Gatie",640588,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
194,"Lose You To Love Me","Selena Gomez",639171,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
195,"Rags2Riches 2 (feat. Lil Baby)","Rod Wave",632600,https://open.spotify.com/track/0qJeyYAgv6UpvewUxRXAhb
196,Anaranjado,"Jowell & Randy",631534,https://open.spotify.com/track/0cRgJuB6TRtb5RZ2HkjSLh
197,Photograph,"Ed Sheeran",628950,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
198,Riptide,"Vance Joy",627875,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
199,+Linda,Dalex,627234,https://open.spotify.com/track/5cBrOhKDyiJF9bPGUHKkG0
200,"Ballin' (with Roddy Ricch)",Mustard,625490,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
