,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"WAP (feat. Megan Thee Stallion)","Cardi B",6466204,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
2,Hawái,Maluma,5696927,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
3,"Mood (feat. iann dior)",24kGoldn,4847213,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
4,Dynamite,BTS,4642593,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
5,"Blinding Lights","The Weeknd",3827733,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
6,"Savage Love (Laxed - Siren Beat)","Jawsh 685",3710351,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
7,"Watermelon Sugar","Harry Styles",3699915,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
8,"Ice Cream (with Selena Gomez)",BLACKPINK,3563748,https://open.spotify.com/track/2J4P46vCFm1rPkNkp9pZWX
9,"Laugh Now Cry Later (feat. Lil Durk)",Drake,3547315,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
10,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,3537690,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
11,"Mood Swings (feat. Lil Tjay)","Pop Smoke",2593785,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
12,"Roses - Imanbek Remix","SAINt JHN",2528211,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
13,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",2460218,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
14,"Breaking Me",Topic,2425804,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
15,"Ay, DiOs Mío!","KAROL G",2415107,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
16,Heather,"Conan Gray",2414918,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
17,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",2354241,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
18,"Head & Heart (feat. MNEK)","Joel Corry",2351625,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
19,"Come & Go (with Marshmello)","Juice WRLD",2140858,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
20,"Rain On Me (with Ariana Grande)","Lady Gaga",2101470,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
21,"La Curiosidad","Jay Wheeler",2059017,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
22,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",2012814,https://open.spotify.com/track/2DQNYMRjisN3KAPj1bEwOI
23,"La Jeepeta - Remix","Nio Garcia",2006271,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
24,"Tattoo - Remix with Camilo","Rauw Alejandro",1988226,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
25,"Midnight Sky","Miley Cyrus",1983724,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
26,Caramelo,Ozuna,1970350,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG
27,"Smile (with The Weeknd)","Juice WRLD",1958142,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
28,"Dance Monkey","Tones And I",1948398,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
29,"Someone You Loved","Lewis Capaldi",1903846,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
30,"death bed (coffee for your head)",Powfu,1885004,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
