,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Mood (feat. iann dior)",24kGoldn,5681338,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
2,"WAP (feat. Megan Thee Stallion)","Cardi B",4786211,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
3,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",4502404,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
4,Hawái,Maluma,4066369,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
5,Dynamite,BTS,4016787,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
6,"Holy (feat. Chance The Rapper)","Justin Bieber",3441822,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
7,"Blinding Lights","The Weeknd",3410272,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
8,"Watermelon Sugar","Harry Styles",3321198,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
9,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",3308897,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
10,"Savage Love (Laxed - Siren Beat)","Jawsh 685",2921831,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
11,"Laugh Now Cry Later (feat. Lil Durk)",Drake,2817814,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
12,"Head & Heart (feat. MNEK)","Joel Corry",2783986,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
13,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,2776955,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
14,"you broke me first","Tate McRae",2642182,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
15,"What You Know Bout Love","Pop Smoke",2569925,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
16,Heather,"Conan Gray",2531541,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
17,"Relación - Remix",Sech,2458442,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
18,"POPSTAR (feat. Drake)","DJ Khaled",2311316,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
19,"Roses - Imanbek Remix","SAINt JHN",2218170,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
20,"FRANCHISE (feat. Young Thug & M.I.A.)","Travis Scott",2212495,https://open.spotify.com/track/4jVBIpuOiMj1crqd8LoCrJ
21,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",2127356,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
22,"Breaking Me",Topic,2068847,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
23,"La Curiosidad","Jay Wheeler",2029492,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
24,"Ay, DiOs Mío!","KAROL G",2028219,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
25,"Ice Cream (with Selena Gomez)",BLACKPINK,2002977,https://open.spotify.com/track/2J4P46vCFm1rPkNkp9pZWX
26,"Someone You Loved","Lewis Capaldi",1996262,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
27,"Mood Swings (feat. Lil Tjay)","Pop Smoke",1943381,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
28,"Midnight Sky","Miley Cyrus",1886814,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
29,"Put Your Records On","Ritt Momney",1869502,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
30,"Before You Go","Lewis Capaldi",1868280,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
31,"Take You Dancing","Jason Derulo",1867795,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
32,"Dance Monkey","Tones And I",1844871,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
33,"Tattoo - Remix with Camilo","Rauw Alejandro",1818641,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
34,"Come & Go (with Marshmello)","Juice WRLD",1810552,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
35,"La Jeepeta - Remix","Nio Garcia",1714916,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
36,"La Tóxica",Farruko,1713801,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
37,"death bed (coffee for your head)",Powfu,1680027,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
38,"my ex's best friend (with blackbear)","Machine Gun Kelly",1654849,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
39,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",1635636,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
40,Despeinada,Ozuna,1620628,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
41,Caramelo,Ozuna,1616123,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
42,"Vida de Rico",Camilo,1578753,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
43,"Wishing Well","Juice WRLD",1577046,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
44,"Don't Start Now","Dua Lipa",1562000,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
45,"Se Te Nota (with Guaynaa)","Lele Pons",1532143,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
